code,arch,dataset,defoca,cea,cea-gate,mean-accuracy,std-accuracy
B000,resnet18,cotton80,n,n,n,0.2021,0.0273
B001,resnet50,cotton80,n,n,n,0.2658,0.0175
B003,resnet18,cub200,n,n,n,0.6559,0.0043
B004,resnet50,cub200,n,n,n,0.7667,0.0052
CEA000,resnet18,cotton80,y,y,n,0.2425,0.0201
CEA001,resnet50,cotton80,y,y,n,0.3408,0.0054
CEA003,resnet18,cub200,y,y,n,0.6634,0.0064
CEA004,resnet50,cub200,y,y,n,0.7673,0.0039
CEAG000,resnet18,cotton80,y,n,y,0.2425,0.02456
CEAG001,resnet50,cotton80,y,n,y,0.3449,0.01678
CB000,resnet18,cotton80,y,y,y,0.2700,0.0123
CB001,resnet50,cotton80,y,y,y,0.3617,0.0220
CB003,resnet18,cub200,y,y,y
CB004,resnet50,cub200,y,y,y
DE000,resnet18,cotton80,y,n,n,0.2450,0.0182
DE001,resnet50,cotton80,y,n,n,0.3450,0.0168
DE003,resnet18,cub200,y,n,n,0.6603,0.0035
DE004,resnet50,cub200,y,n,n,